contador,fecha,hora,temperatura
1,20-6-2019,14:48:57,33.88
1,20-6-2019,14:52:0,33.81
2,20-6-2019,14:52:1,33.88
3,20-6-2019,14:52:3,33.94
4,20-6-2019,14:52:5,33.94
5,20-6-2019,14:52:7,34
6,20-6-2019,14:52:9,34
7,20-6-2019,14:52:10,34
8,20-6-2019,14:52:12,34
9,20-6-2019,14:52:14,34
10,20-6-2019,14:52:16,34
11,20-6-2019,14:52:18,34.06
12,20-6-2019,14:52:19,34.06
1,20-6-2019,15:27:18,34.06
2,20-6-2019,15:27:20,34.06
3,20-6-2019,15:27:22,34.06
4,20-6-2019,15:27:24,34.06
5,20-6-2019,15:27:25,34.06
6,20-6-2019,15:27:27,34.06
7,20-6-2019,15:27:29,34.13
8,20-6-2019,15:27:31,34.13
9,20-6-2019,15:27:33,34.13
10,20-6-2019,15:27:34,34.13
11,20-6-2019,15:27:36,34.13
12,20-6-2019,15:27:38,34.19
13,20-6-2019,15:27:40,34.19
14,20-6-2019,15:27:42,34.19
15,20-6-2019,15:27:43,34.19
16,20-6-2019,15:27:45,34.19
17,20-6-2019,15:27:47,34.19
18,20-6-2019,15:27:49,34.25
19,20-6-2019,15:27:51,34.25
20,20-6-2019,15:27:52,34.25
21,20-6-2019,15:27:54,34.25
22,20-6-2019,15:27:56,34.25
23,20-6-2019,15:27:58,34.25
24,20-6-2019,15:28:0,34.25
25,20-6-2019,15:28:1,34.25
26,20-6-2019,15:28:3,34.25
27,20-6-2019,15:28:5,34.31
28,20-6-2019,15:28:7,34.31
29,20-6-2019,15:28:9,34.31
30,20-6-2019,15:28:10,34.38
31,20-6-2019,15:28:12,34.38
32,20-6-2019,15:28:14,34.38
33,20-6-2019,15:28:16,34.38
34,20-6-2019,15:28:18,34.38
35,20-6-2019,15:28:19,34.38
36,20-6-2019,15:28:21,34.38
37,20-6-2019,15:28:23,34.44
38,20-6-2019,15:28:25,34.44
39,20-6-2019,15:28:27,34.44
40,20-6-2019,15:28:28,34.44
41,20-6-2019,15:28:30,34.44
42,20-6-2019,15:28:32,34.44
43,20-6-2019,15:28:34,34.5
44,20-6-2019,15:28:36,34.5
45,20-6-2019,15:28:38,34.5
46,20-6-2019,15:28:39,34.5
47,20-6-2019,15:28:41,34.5
48,20-6-2019,15:28:43,34.56
49,20-6-2019,15:28:45,34.56
50,20-6-2019,15:28:47,34.56
51,20-6-2019,15:28:48,34.56
52,20-6-2019,15:28:50,34.56
53,20-6-2019,15:28:52,34.56
54,20-6-2019,15:28:54,34.63
55,20-6-2019,15:28:56,34.63
56,20-6-2019,15:28:57,34.63
57,20-6-2019,15:28:59,34.63
58,20-6-2019,15:29:1,34.63
59,20-6-2019,15:29:3,34.69
60,20-6-2019,15:29:5,34.69
61,20-6-2019,15:29:6,34.69
62,20-6-2019,15:29:8,34.69
63,20-6-2019,15:29:10,34.69
64,20-6-2019,15:29:12,34.69
65,20-6-2019,15:29:14,34.69
66,20-6-2019,15:29:15,34.75
67,20-6-2019,15:29:17,34.75
1,20-6-2019,15:29:25,34.75
2,20-6-2019,15:29:27,34.75
3,20-6-2019,15:29:29,34.75
4,20-6-2019,15:29:31,34.75
5,20-6-2019,15:29:33,34.75
6,20-6-2019,15:29:34,34.75
7,20-6-2019,15:29:36,34.81
8,20-6-2019,15:29:38,34.81
9,20-6-2019,15:29:40,34.81
10,20-6-2019,15:29:42,34.81
11,20-6-2019,15:29:43,34.81
12,20-6-2019,15:29:45,34.81
1,20-6-2019,15:29:54,34.88
2,20-6-2019,15:29:56,34.88
3,20-6-2019,15:29:58,34.88
4,20-6-2019,15:30:0,34.88
1,20-6-2019,15:30:17,34.88
2,20-6-2019,15:30:18,34.88
3,20-6-2019,15:30:20,34.88
4,20-6-2019,15:30:22,34.88
5,20-6-2019,15:30:24,34.88
6,20-6-2019,15:30:26,34.88
7,20-6-2019,15:30:28,34.94
8,20-6-2019,15:30:29,34.94
9,20-6-2019,15:30:31,34.94
10,20-6-2019,15:30:33,35
11,20-6-2019,15:30:35,35
12,20-6-2019,15:30:37,34.81
13,20-6-2019,15:30:38,34.75
14,20-6-2019,15:30:40,34.63
15,20-6-2019,15:30:42,34.5
16,20-6-2019,15:30:44,34.44
17,20-6-2019,15:30:46,34.38
18,20-6-2019,15:30:47,34.38
19,20-6-2019,15:30:49,34.38
20,20-6-2019,15:30:51,34.38
21,20-6-2019,15:30:53,34.44
22,20-6-2019,15:30:55,34.44
23,20-6-2019,15:30:56,34.5
24,20-6-2019,15:30:58,34.5
25,20-6-2019,15:31:0,34.56
26,20-6-2019,15:31:2,34.63
27,20-6-2019,15:31:4,34.63
28,20-6-2019,15:31:6,34.63
29,20-6-2019,15:31:7,34.63
30,20-6-2019,15:31:9,34.63
31,20-6-2019,15:31:11,34.63
32,20-6-2019,15:31:13,34.63
33,20-6-2019,15:31:15,34.63
34,20-6-2019,15:31:16,34.63
35,20-6-2019,15:31:18,34.63
36,20-6-2019,15:31:20,34.63
37,20-6-2019,15:31:22,34.63
38,20-6-2019,15:31:24,34.63
39,20-6-2019,15:31:25,34.63
40,20-6-2019,15:31:27,34.63
41,20-6-2019,15:31:29,34.63
42,20-6-2019,15:31:31,34.69
43,20-6-2019,15:31:33,34.69
44,20-6-2019,15:31:34,34.69
45,20-6-2019,15:31:36,34.69
46,20-6-2019,15:31:38,34.69
47,20-6-2019,15:31:40,34.69
48,20-6-2019,15:31:42,34.75
49,20-6-2019,15:31:43,34.75
50,20-6-2019,15:31:45,34.75
51,20-6-2019,15:31:47,34.75
52,20-6-2019,15:31:49,34.75
53,20-6-2019,15:31:51,34.75
54,20-6-2019,15:31:52,34.75
55,20-6-2019,15:31:54,34.75
56,20-6-2019,15:31:56,34.75
57,20-6-2019,15:31:58,34.81
58,20-6-2019,15:32:0,34.81
59,20-6-2019,15:32:1,34.81
60,20-6-2019,15:32:3,34.81
61,20-6-2019,15:32:5,34.81
62,20-6-2019,15:32:7,34.81
63,20-6-2019,15:32:9,34.81
64,20-6-2019,15:32:10,34.81
65,20-6-2019,15:32:12,34.81
66,20-6-2019,15:32:14,34.88
67,20-6-2019,15:32:16,34.81
68,20-6-2019,15:32:18,34.88
