contador, fecha, hora, temperatura_lata, temperatura_ambiente
1, 20-6-2019, 15:51:32, 38.00, 41.06
2, 20-6-2019, 15:52:33, 38.19, 41.54
3, 20-6-2019, 15:53:33, 38.38, 42.03
4, 20-6-2019, 15:54:34, 38.44, 42.03
5, 20-6-2019, 15:55:35, 38.56, 42.52
6, 20-6-2019, 15:56:36, 38.69, 42.03
7, 20-6-2019, 15:57:37, 38.88, 42.03
8, 20-6-2019, 15:58:38, 38.75, 41.06
9, 20-6-2019, 15:59:38, 38.88, 40.08
10, 20-6-2019, 16:0:39, 38.81, 40.57
11, 20-6-2019, 16:1:40, 38.81, 40.08
12, 20-6-2019, 16:2:41, 39.06, 41.06
13, 20-6-2019, 16:3:42, 39.00, 40.57
14, 20-6-2019, 16:4:23, 39.06, 41.54
15, 20-6-2019, 16:5:43, 39.19, 41.54
16, 20-6-2019, 16:6:44, 39.19, 42.03
17, 20-6-2019, 16:7:45, 39.38, 42.52
18, 20-6-2019, 16:8:46, 39.38, 43.50
19, 20-6-2019, 16:9:46, 39.50, 43.50
20, 20-6-2019, 16:10:47, 39.63, 43.01
21, 20-6-2019, 16:11:48, 39.63, 43.50
22, 20-6-2019, 16:12:49, 39.69, 43.01
23, 20-6-2019, 16:13:50, 39.81, 43.01
24, 20-6-2019, 16:14:50, 39.75, 42.52
25, 20-6-2019, 16:15:51, 39.88, 42.52
26, 20-6-2019, 16:16:52, 39.81, 42.03
27, 20-6-2019, 16:17:53, 39.88, 42.52
28, 20-6-2019, 16:18:54, 39.94, 43.50
29, 20-6-2019, 16:19:54, 39.81, 43.01
30, 20-6-2019, 16:20:55, 40.00, 43.01
31, 20-6-2019, 16:21:56, 40.13, 43.01
32, 20-6-2019, 16:22:57, 40.06, 43.01
33, 20-6-2019, 16:23:58, 40.00, 43.99
34, 20-6-2019, 16:24:59, 40.19, 44.48
35, 20-6-2019, 16:25:59, 40.19, 43.99
36, 20-6-2019, 16:27:0, 40.25, 43.50
37, 20-6-2019, 16:28:1, 40.38, 43.99
38, 20-6-2019, 16:29:2, 40.38, 44.48
39, 20-6-2019, 16:30:3, 40.50, 44.48
40, 20-6-2019, 16:31:4, 40.56, 44.97
41, 20-6-2019, 16:32:4, 40.56, 44.97
42, 20-6-2019, 16:33:5, 40.56, 45.45
43, 20-6-2019, 16:34:6, 40.63, 43.99
44, 20-6-2019, 16:35:6, 40.81, 44.48
45, 20-6-2019, 16:36:7, 40.75, 43.99
46, 20-6-2019, 16:37:8, 40.81, 44.97
47, 20-6-2019, 16:38:9, 40.88, 44.97
