contador,fecha,hora,temperatura_ambiente,temperatura_lata
1,20-6-2019,14:48:57,23.95,25.62
1,20-6-2019,14:52:0,24.44,25.62
2,20-6-2019,14:52:1,23.95,25.62
3,20-6-2019,14:52:3,24.44,25.62
4,20-6-2019,14:52:5,24.44,25.62
5,20-6-2019,14:52:7,24.44,25.62
6,20-6-2019,14:52:9,24.44,25.62
7,20-6-2019,14:52:10,23.95,25.62
8,20-6-2019,14:52:12,24.44,25.62
9,20-6-2019,14:52:14,23.95,25.69
10,20-6-2019,14:52:16,24.44,25.62
11,20-6-2019,14:52:18,24.44,25.69
12,20-6-2019,14:52:19,24.44,25.69
1,20-6-2019,15:27:18,39.59,34.19
2,20-6-2019,15:27:20,39.10,34.19
3,20-6-2019,15:27:22,39.59,34.25
4,20-6-2019,15:27:24,39.10,34.25
5,20-6-2019,15:27:25,39.10,34.25
6,20-6-2019,15:27:27,39.59,34.25
7,20-6-2019,15:27:29,39.59,34.31
8,20-6-2019,15:27:31,39.59,34.31
9,20-6-2019,15:27:33,39.59,34.31
10,20-6-2019,15:27:34,39.10,34.31
11,20-6-2019,15:27:36,39.59,34.31
12,20-6-2019,15:27:38,39.59,34.31
13,20-6-2019,15:27:40,39.10,34.38
14,20-6-2019,15:27:42,39.59,34.31
15,20-6-2019,15:27:43,39.10,34.38
16,20-6-2019,15:27:45,39.10,34.38
17,20-6-2019,15:27:47,39.10,34.38
18,20-6-2019,15:27:49,39.10,34.38
19,20-6-2019,15:27:51,39.10,34.38
20,20-6-2019,15:27:52,39.10,34.44
21,20-6-2019,15:27:54,39.10,34.44
22,20-6-2019,15:27:56,39.10,34.44
23,20-6-2019,15:27:58,39.10,34.44
24,20-6-2019,15:28:0,39.10,34.44
25,20-6-2019,15:28:1,39.10,34.44
26,20-6-2019,15:28:3,39.10,34.50
27,20-6-2019,15:28:5,39.10,34.50
28,20-6-2019,15:28:7,39.10,34.50
29,20-6-2019,15:28:9,39.59,34.50
30,20-6-2019,15:28:10,39.10,34.50
31,20-6-2019,15:28:12,39.59,34.50
32,20-6-2019,15:28:14,39.10,34.50
33,20-6-2019,15:28:16,39.59,34.56
34,20-6-2019,15:28:18,39.59,34.56
35,20-6-2019,15:28:19,39.59,34.56
36,20-6-2019,15:28:21,39.59,34.56
37,20-6-2019,15:28:23,39.59,34.56
38,20-6-2019,15:28:25,39.59,34.56
39,20-6-2019,15:28:27,39.59,34.63
40,20-6-2019,15:28:28,39.59,34.63
41,20-6-2019,15:28:30,39.59,34.63
42,20-6-2019,15:28:32,39.59,34.63
43,20-6-2019,15:28:34,39.59,34.63
44,20-6-2019,15:28:36,40.08,34.63
45,20-6-2019,15:28:38,39.59,34.69
46,20-6-2019,15:28:39,40.08,34.69
47,20-6-2019,15:28:41,40.08,34.69
48,20-6-2019,15:28:43,40.08,34.69
49,20-6-2019,15:28:45,40.08,34.69
50,20-6-2019,15:28:47,40.08,34.69
51,20-6-2019,15:28:48,40.08,34.69
52,20-6-2019,15:28:50,40.08,34.69
53,20-6-2019,15:28:52,40.08,34.69
54,20-6-2019,15:28:54,40.08,34.69
55,20-6-2019,15:28:56,40.08,34.69
56,20-6-2019,15:28:57,40.08,34.75
57,20-6-2019,15:28:59,40.08,34.75
58,20-6-2019,15:29:1,39.59,34.75
59,20-6-2019,15:29:3,39.59,34.75
60,20-6-2019,15:29:5,39.59,34.75
61,20-6-2019,15:29:6,39.10,34.75
62,20-6-2019,15:29:8,39.59,34.75
63,20-6-2019,15:29:10,39.59,34.81
64,20-6-2019,15:29:12,39.59,34.81
65,20-6-2019,15:29:14,39.10,34.81
66,20-6-2019,15:29:15,39.59,34.81
67,20-6-2019,15:29:17,39.10,34.81
1,20-6-2019,15:29:25,40.08,34.88
2,20-6-2019,15:29:27,39.59,34.88
3,20-6-2019,15:29:29,40.08,34.88
4,20-6-2019,15:29:31,39.59,34.88
5,20-6-2019,15:29:33,39.59,34.88
6,20-6-2019,15:29:34,39.59,34.88
7,20-6-2019,15:29:36,39.59,34.94
8,20-6-2019,15:29:38,39.59,34.88
9,20-6-2019,15:29:40,40.08,34.88
10,20-6-2019,15:29:42,40.08,34.88
11,20-6-2019,15:29:43,39.59,34.88
12,20-6-2019,15:29:45,39.59,34.88
1,20-6-2019,15:29:54,40.08,34.94
2,20-6-2019,15:29:56,40.08,34.94
3,20-6-2019,15:29:58,40.57,35.00
4,20-6-2019,15:30:0,40.08,35.00
1,20-6-2019,15:30:17,40.08,35.06
2,20-6-2019,15:30:18,40.08,35.06
3,20-6-2019,15:30:20,40.08,35.06
4,20-6-2019,15:30:22,39.59,35.06
5,20-6-2019,15:30:24,39.59,35.06
6,20-6-2019,15:30:26,39.59,35.13
7,20-6-2019,15:30:28,39.59,35.13
8,20-6-2019,15:30:29,39.59,35.13
9,20-6-2019,15:30:31,39.59,35.13
10,20-6-2019,15:30:33,39.59,35.13
11,20-6-2019,15:30:35,39.59,35.13
12,20-6-2019,15:30:37,39.59,35.13
13,20-6-2019,15:30:38,39.59,35.19
14,20-6-2019,15:30:40,39.59,35.19
15,20-6-2019,15:30:42,39.59,35.19
16,20-6-2019,15:30:44,40.08,35.19
17,20-6-2019,15:30:46,39.59,35.19
18,20-6-2019,15:30:47,39.59,35.19
19,20-6-2019,15:30:49,39.59,35.19
20,20-6-2019,15:30:51,40.08,35.25
21,20-6-2019,15:30:53,39.59,35.25
22,20-6-2019,15:30:55,40.08,35.25
23,20-6-2019,15:30:56,40.08,35.25
24,20-6-2019,15:30:58,40.08,35.31
25,20-6-2019,15:31:0,40.08,35.31
26,20-6-2019,15:31:2,40.08,35.31
27,20-6-2019,15:31:4,39.59,35.31
28,20-6-2019,15:31:6,39.59,35.31
29,20-6-2019,15:31:7,40.08,35.31
30,20-6-2019,15:31:9,40.08,35.31
31,20-6-2019,15:31:11,40.08,35.31
32,20-6-2019,15:31:13,40.08,35.31
33,20-6-2019,15:31:15,40.08,35.38
34,20-6-2019,15:31:16,40.08,35.38
35,20-6-2019,15:31:18,39.59,35.38
36,20-6-2019,15:31:20,40.08,35.38
37,20-6-2019,15:31:22,40.08,35.38
38,20-6-2019,15:31:24,40.08,35.38
39,20-6-2019,15:31:25,40.08,35.38
40,20-6-2019,15:31:27,39.59,35.38
41,20-6-2019,15:31:29,40.08,35.38
42,20-6-2019,15:31:31,40.08,35.38
43,20-6-2019,15:31:33,40.08,35.44
44,20-6-2019,15:31:34,40.08,35.44
45,20-6-2019,15:31:36,40.08,35.44
46,20-6-2019,15:31:38,40.08,35.44
47,20-6-2019,15:31:40,40.08,35.44
